# Index r11 r12 r13 tx r21 r22 r23 ty r31 r32 r33 tz 0 0 0 1
156 -0.723097 0.680184 0.120323 -0.009879 0.690605 0.708393 0.145750 0.048181 0.013901 0.188487 -0.981976 0.217886 0 0 0 1
157 -0.768506 0.628425 0.120323 -0.010188 0.639840 0.754559 0.145750 0.048480 0.000802 0.188997 -0.981976 0.217875 0 0 0 1
158 -0.730231 0.673165 0.116659 -0.010533 0.683057 0.715870 0.144780 0.048771 0.013948 0.185408 -0.982562 0.217862 0 0 0 1
159 -0.660773 0.741858 0.114122 -0.010865 0.749782 0.645360 0.146070 0.049085 0.034713 0.182086 -0.982669 0.217856 0 0 0 1
160 -0.845421 0.520612 0.119267 -0.011119 0.533564 0.833240 0.144977 0.049376 -0.023901 0.186203 -0.982219 0.217858 0 0 0 1
161 -0.682238 0.724104 0.101101 -0.011604 0.730153 0.667640 0.145367 0.049684 0.037762 0.172994 -0.984198 0.217839 0 0 0 1
162 -0.752487 0.650844 0.100814 -0.011909 0.658248 0.738166 0.147713 0.050012 0.021721 0.177513 -0.983878 0.217847 0 0 0 1
163 -0.781154 0.616739 0.097104 -0.012246 0.624133 0.767428 0.146665 0.050309 0.015934 0.175174 -0.984408 0.217849 0 0 0 1
164 -0.777165 0.623182 0.087504 -0.012640 0.628798 0.763485 0.147314 0.050624 0.024995 0.169510 -0.985210 0.217853 0 0 0 1
165 -0.676453 0.731900 0.082043 -0.012989 0.734685 0.662820 0.144584 0.050908 0.051441 0.158081 -0.986084 0.217860 0 0 0 1
166 -0.554263 0.828419 0.080698 -0.013295 0.828701 0.540184 0.146470 0.051240 0.077747 0.148058 -0.985917 0.217882 0 0 0 1
167 -0.823010 0.561189 0.087862 -0.013512 0.567908 0.809794 0.147348 0.051565 0.011540 0.171166 -0.985174 0.217913 0 0 0 1
168 -0.715005 0.694972 0.076019 -0.013916 0.697592 0.702035 0.143212 0.051842 0.046160 0.155428 -0.986767 0.217927 0 0 0 1
169 -0.647868 0.758256 0.072889 -0.014230 0.759307 0.635168 0.141465 0.052147 0.060971 0.146996 -0.987255 0.217955 0 0 0 1
170 -0.701241 0.709187 0.072889 -0.014509 0.711159 0.688650 0.141465 0.052471 0.050131 0.151037 -0.987255 0.217993 0 0 0 1
