#r11 r12 r13 tx r21 r22 r23 ty r31 r32 r33 tz 0 0 0 1
-0.073170 0.997155 0.018108 -0.037490 0.978217 0.075293 -0.193450 0.009281 -0.194264 0.003559 -0.980943 0.211653 0 0 0 1
-0.061720 0.997877 0.020776 -0.037810 0.976873 0.064664 -0.203806 0.009537 -0.204717 0.007717 -0.978791 0.211596 0 0 0 1
-0.040816 0.998838 -0.025622 -0.038616 0.977318 0.034577 -0.208934 0.009849 -0.207805 -0.033569 -0.977594 0.211539 0 0 0 1
-0.021829 0.997779 -0.062928 -0.039328 0.975810 0.007569 -0.218488 0.010118 -0.217527 -0.066175 -0.973808 0.211516 0 0 0 1
-0.004932 0.994742 -0.102292 -0.040058 0.968594 -0.020678 -0.247786 0.010192 -0.248599 -0.100302 -0.963399 0.211571 0 0 0 1
0.014079 0.988971 -0.147437 -0.040842 0.966060 -0.051490 -0.253132 0.010506 -0.257932 -0.138869 -0.956131 0.211608 0 0 0 1
0.023256 0.990514 -0.135432 -0.041053 0.961407 -0.059307 -0.268662 0.010720 -0.274146 -0.123957 -0.953666 0.211612 0 0 0 1
0.036765 0.990104 -0.135432 -0.041382 0.960508 -0.072415 -0.268662 0.011089 -0.275811 -0.120206 -0.953666 0.211607 0 0 0 1
0.062450 0.957495 -0.281609 -0.043170 0.947430 -0.145591 -0.284919 0.011295 -0.313808 -0.249011 -0.916252 0.211995 0 0 0 1
0.081386 0.937383 -0.338657 -0.044066 0.942222 -0.183143 -0.280493 0.011708 -0.324952 -0.296262 -0.898129 0.212209 0 0 0 1
0.096110 0.935988 -0.338657 -0.044390 0.939227 -0.197930 -0.280493 0.012075 -0.329568 -0.291118 -0.898129 0.212263 0 0 0 1
